flat_index,place_index,view_index,place_label,donor_flat_index,donor_place_index,donor_place_label,latitude,longitude,year,month,heading,aligned_confidence_mean,shuffled_confidence_mean,aligned_delta_mean,aligned_delta_abs_mean,aligned_delta_abs_max,shuffled_delta_mean,shuffled_delta_abs_mean,shuffled_delta_abs_max,delta_abs_difference_mean,delta_abs_difference_max,target_abs_difference_mean,target_spatial_correlation,aligned_target_std,shuffled_target_std,selected,selection_reason
24,6,0,125,20,5,1059,6.232968523594663,-75.58929698606617,2019.0,6.0,150.0,0.37600210309028625,0.4310533106327057,0.004311933647841215,0.04058656096458435,0.29870593547821045,0.003113263752311468,0.05871777981519699,0.2918371260166168,0.05154035612940788,0.2503969967365265,0.05204454064369202,0.9919935464859009,0.8182212114334106,0.8235052227973938,False,
25,6,1,125,21,5,1059,6.232952637201261,-75.58929008488182,2014.0,1.0,157.0,0.44617196917533875,0.43757784366607666,-0.0008574427920393646,0.05452790483832359,0.33090582489967346,0.00013128682621754706,0.05350637808442116,0.3462435007095337,0.051428377628326416,0.3154703378677368,0.03259960561990738,0.9976233839988708,0.8300681114196777,0.8322160243988037,False,
26,6,2,125,22,5,1059,6.232954173105261,-75.58929110905518,2013.0,5.0,152.0,0.4597417116165161,0.42623528838157654,0.002353138290345669,0.06819549947977066,0.7181450724601746,0.0023106492590159178,0.05970541387796402,0.33898505568504333,0.06620299816131592,0.5168888568878174,0.08104991912841797,0.9818387031555176,0.861373782157898,0.8514727354049683,False,
27,6,3,125,23,5,1059,6.232966211523064,-75.58927911944589,2016.0,3.0,326.0,0.49131152033805847,0.42340460419654846,0.002763398690149188,0.059995900839567184,0.30231308937072754,0.004493299406021833,0.06394609808921814,0.23936493694782257,0.062131863087415695,0.3132288455963135,0.07230604439973831,0.9848722219467163,0.7565474510192871,0.7669348120689392,False,
28,7,0,650,24,6,125,6.242807402790934,-75.5943493155997,2019.0,6.0,619.0,0.37853631377220154,0.37600210309028625,0.012780671007931232,0.09231345355510712,0.41516968607902527,0.01101495698094368,0.10269699990749359,0.7063068747520447,0.09553024917840958,0.4878634214401245,0.06921935081481934,0.9856588244438171,0.7713459134101868,0.7871249914169312,False,
29,7,1,650,25,6,125,6.242804508845063,-75.59434967041803,2018.0,12.0,601.0,0.4491184651851654,0.44617196917533875,0.005509750451892614,0.08224321156740189,0.3793799579143524,0.011048258282244205,0.10167322307825089,0.5369065403938293,0.08947142958641052,0.6563419699668884,0.08695927262306213,0.9774060845375061,0.8514416813850403,0.849113941192627,False,
30,7,2,650,26,6,125,6.242791961981375,-75.59435158471865,2013.0,12.0,596.0,0.42834410071372986,0.4597417116165161,0.0017365843523293734,0.06993617117404938,0.4045856297016144,-0.002509783487766981,0.08322165906429291,0.5630210041999817,0.07125411182641983,0.45742905139923096,0.09008502960205078,0.9810757637023926,0.8066180348396301,0.8214543461799622,False,
31,7,3,650,27,6,125,6.242821707985413,-75.5943327059564,2016.0,3.0,609.0,0.4376295506954193,0.49131152033805847,0.005225618369877338,0.0867185965180397,0.493667334318161,-0.0016339934663847089,0.14561067521572113,0.7845469117164612,0.13141760230064392,0.7222779393196106,0.12090699374675751,0.9580922722816467,0.7659711837768555,0.7621595859527588,True,random_audit
32,8,0,869,28,7,650,6.247108879708857,-75.58739702522575,2015.0,9.0,338.0,0.4731121361255646,0.37853631377220154,0.006083210464566946,0.08898920565843582,0.4470531940460205,-0.0018746351124718785,0.09107623994350433,0.6283193230628967,0.08100657910108566,0.6744770407676697,0.05236608907580376,0.989838719367981,0.8565584421157837,0.8609914183616638,False,
33,8,1,869,29,7,650,6.247122370203904,-75.58744092919999,2019.0,4.0,366.0,0.48893022537231445,0.4491184651851654,0.004742681514471769,0.0651230737566948,0.30664965510368347,0.0038249753415584564,0.07227838784456253,0.3433419466018677,0.06554442644119263,0.3538297414779663,0.08079858124256134,0.9819803237915039,0.7957884073257446,0.7988252639770508,False,
