mask,transform,composition,threshold,top_fraction,semantic_disabled,sample_count,aligned_coverage,shuffled_coverage,aligned_zero_active_image,shuffled_zero_active_image,aligned_effective_confidence_mean,shuffled_effective_confidence_mean,aligned_delta_abs_mean,shuffled_delta_abs_mean,aligned_pre_target_std,shuffled_pre_target_std,aligned_target_std,shuffled_target_std,aligned_target_change_from_ru,shuffled_target_change_from_ru,aligned_target_correlation_with_ru,shuffled_target_correlation_with_ru,aligned_saturation_fraction,shuffled_saturation_fraction,pre_transform_pair_difference,target_pair_difference,target_pair_correlation,target_pair_sign_disagreement,pair_difference_amplification,aligned_coverage_min,aligned_coverage_max,shuffled_coverage_min,shuffled_coverage_max,aligned_delta_retained_ratio,shuffled_delta_retained_ratio
confidence_ge_0.7,shared_base,production_roundtrip,0.7,,False,160,0.04381377622485161,0.04381377622485161,0.01875000074505806,0.01875000074505806,0.03344539552927017,0.03344539552927017,0.006460013333708048,0.007333518471568823,0.40807804465293884,0.4075470566749573,0.7423794269561768,0.7418066263198853,0.102216936647892,0.10301706939935684,0.971705436706543,0.9712462425231934,0.2739531397819519,0.27287501096725464,0.00971793569624424,0.015293571166694164,0.9972984194755554,0.008515625260770321,1.6836516857147217,0.0,0.12244898080825806,0.0,0.12244898080825806,0.07725811115958409,0.07532370238768211
top_20pct_per_image,shared_base,production_roundtrip,,0.2,False,160,0.20408162474632263,0.20408162474632263,0.0,0.0,0.12939545512199402,0.12939545512199402,0.02480357326567173,0.0275593101978302,0.39983394742012024,0.39738401770591736,0.7389165163040161,0.7377803325653076,0.11375908553600311,0.11707595735788345,0.9657396078109741,0.9635492563247681,0.26750001311302185,0.26353126764297485,0.029475251212716103,0.04665777087211609,0.9904471635818481,0.026515623554587364,1.657513976097107,0.20408163964748383,0.20408163964748383,0.20408163964748383,0.20408163964748383,0.2966367283663502,0.283065937230413
semantic_off,center_only,production_roundtrip,,,True,160,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.41042375564575195,0.41042375564575195,0.5505006313323975,0.5505006313323975,0.07989893108606339,0.07989893108606339,0.9797463417053223,0.9797463417053223,0.03984374925494194,0.03984374925494194,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,center_only,production_roundtrip,,,False,160,1.0,1.0,0.0,0.0,0.4357421398162842,0.4357420802116394,0.0836159884929657,0.0973600372672081,0.3716135621070862,0.35566604137420654,0.525616466999054,0.5136586427688599,0.1226353645324707,0.13720838725566864,0.9574972987174988,0.9478162527084351,0.02435937523841858,0.01928124949336052,0.047269321978092194,0.0622345432639122,0.9841593503952026,0.046796876937150955,1.3550770282745361,1.0,1.0,1.0,1.0,1.0,1.0
confidence_ge_0.5,center_only,production_roundtrip,0.5,,False,160,0.29693877696990967,0.29693877696990967,0.0,0.0,0.1794123351573944,0.1794123351573944,0.03348054736852646,0.03832286596298218,0.39613690972328186,0.39153727889060974,0.5419814586639404,0.5385082364082336,0.0964357778429985,0.10197122395038605,0.9708884954452515,0.9674833416938782,0.03414062410593033,0.03232812136411667,0.03574812784790993,0.04555343836545944,0.9897395968437195,0.03356250002980232,1.3087292909622192,0.11224489659070969,0.5408163070678711,0.11224489659070969,0.5408163070678711,0.4004084382898021,0.3936200831333261
confidence_ge_0.6,center_only,production_roundtrip,0.6,,False,160,0.12643495202064514,0.12643493711948395,0.0,0.0,0.08654385060071945,0.08654385060071945,0.01666915789246559,0.018473995849490166,0.4030894637107849,0.4026980400085449,0.5464662313461304,0.5454795360565186,0.08800699561834335,0.09019336849451065,0.9753376245498657,0.9739786386489868,0.03698437660932541,0.036640625447034836,0.02203122340142727,0.028941601514816284,0.9941506385803223,0.021828124299645424,1.35209321975708,0.030612245202064514,0.2602040767669678,0.030612245202064514,0.2602040767669678,0.19935371443785427,0.18974926846820758
confidence_ge_0.7,center_only,production_roundtrip,0.7,,False,160,0.04381377622485161,0.04381377622485161,0.01875000074505806,0.01875000074505806,0.03344539552927017,0.03344539552927017,0.006460013333708048,0.007333518471568823,0.40807804465293884,0.4075470566749573,0.5491763353347778,0.5482833385467529,0.08293071389198303,0.08379729092121124,0.9780613780021667,0.9775455594062805,0.03929687291383743,0.039000000804662704,0.00971793569624424,0.013981765136122704,0.9975573420524597,0.009609375149011612,1.5147433280944824,0.0,0.12244898080825806,0.0,0.12244898080825806,0.07725811115958409,0.07532370238768211
top_20pct_per_image,center_only,production_roundtrip,,0.2,False,160,0.20408162474632263,0.20408162474632263,0.0,0.0,0.12939545512199402,0.12939545512199402,0.02480357326567173,0.0275593101978302,0.39983394742012024,0.39738401770591736,0.5443750023841858,0.5420470237731934,0.09229918569326401,0.09551267325878143,0.9731457829475403,0.9713767766952515,0.0351875014603138,0.034562498331069946,0.029475251212716103,0.03777873516082764,0.9919702410697937,0.028171872720122337,1.3182495832443237,0.20408163964748383,0.20408163964748383,0.20408163964748383,0.20408163964748383,0.2966367283663502,0.283065937230413
semantic_off,per_image_zscore,ru_additive,,,True,160,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4589468538761139,0.4589468538761139,0.7789199948310852,0.7789199948310852,0.0,0.0,1.0,1.0,0.33976560831069946,0.33976560831069946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,per_image_zscore,ru_additive,,,False,160,1.0,1.0,0.0,0.0,0.4357421398162842,0.4357420802116394,0.0836159884929657,0.0973600372672081,0.41736945509910583,0.40011662244796753,0.7830540537834167,0.7852236032485962,0.07121814787387848,0.08477628231048584,0.9860596656799316,0.9800453186035156,0.347531259059906,0.34760937094688416,0.04726932570338249,0.07811586558818817,0.9824596643447876,0.04331250116229057,1.7566194534301758,1.0,1.0,1.0,1.0,1.0,1.0
