mask,transform,composition,flat_index,place_label,aligned_coverage,shuffled_coverage,aligned_zero_active_image,shuffled_zero_active_image,aligned_effective_confidence_mean,shuffled_effective_confidence_mean,aligned_delta_abs_mean,shuffled_delta_abs_mean,aligned_pre_target_std,shuffled_pre_target_std,aligned_target_std,shuffled_target_std,aligned_target_change_from_ru,shuffled_target_change_from_ru,aligned_target_correlation_with_ru,shuffled_target_correlation_with_ru,aligned_saturation_fraction,shuffled_saturation_fraction,pre_transform_pair_difference,target_pair_difference,target_pair_correlation,target_pair_sign_disagreement,pair_difference_amplification
semantic_off,per_image_zscore,production_roundtrip,28,650,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4605634808540344,0.4605634808540344,0.7748689651489258,0.7748689651489258,0.1125296950340271,0.1125296950340271,0.9690847396850586,0.9690847396850586,0.3474999964237213,0.3474999964237213,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,29,650,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3107569217681885,0.3107569217681885,0.8439621925354004,0.8439621925354004,0.10203062742948532,0.10203062742948532,0.9769681096076965,0.9769681096076965,0.4025000035762787,0.4025000035762787,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,30,650,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32774096727371216,0.32774096727371216,0.8172064423561096,0.8172064423561096,0.10187380015850067,0.10187380015850067,0.9761483669281006,0.9761483669281006,0.3824999928474426,0.3824999928474426,0.0,0.0,0.9999998807907104,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,31,650,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5262022018432617,0.5262022018432617,0.7761908173561096,0.7761908173561096,0.08416762948036194,0.08416762948036194,0.9842763543128967,0.9842763543128967,0.3425000011920929,0.3425000011920929,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,32,869,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5914578437805176,0.5914578437805176,0.8484141230583191,0.8484141230583191,0.04994671791791916,0.04994671791791916,0.993292510509491,0.993292510509491,0.4325000047683716,0.4325000047683716,0.0,0.0,0.9999998807907104,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,33,869,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32275834679603577,0.32275834679603577,0.8016380071640015,0.8016380071640015,0.08618804812431335,0.08618804812431335,0.9818738102912903,0.9818738102912903,0.3400000035762787,0.3400000035762787,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,34,869,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.42518454790115356,0.42518454790115356,0.752272367477417,0.752272367477417,0.10835646837949753,0.10835646837949753,0.9720860719680786,0.9720860719680786,0.35749998688697815,0.35749998688697815,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,35,869,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4966753125190735,0.4966753125190735,0.7999467849731445,0.7999467849731445,0.08371199667453766,0.08371199667453766,0.9823026657104492,0.9823026657104492,0.3700000047683716,0.3700000047683716,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,36,141,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2978181838989258,0.2978181838989258,0.8398820757865906,0.8398820757865906,0.09214302152395248,0.09214302152395248,0.9812660217285156,0.9812660217285156,0.42250001430511475,0.42250001430511475,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,37,141,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33119553327560425,0.33119553327560425,0.7976659536361694,0.7976659536361694,0.12222718447446823,0.12222718447446823,0.9447290897369385,0.9447290897369385,0.29499998688697815,0.29499998688697815,0.0,0.0,0.9999998807907104,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,38,141,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.41242092847824097,0.41242092847824097,0.8020318150520325,0.8020318150520325,0.12241291254758835,0.12241291254758835,0.9592204689979553,0.9592204689979553,0.36000001430511475,0.36000001430511475,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,39,141,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5059590935707092,0.5059590935707092,0.8021456003189087,0.8021456003189087,0.09497386962175369,0.09497386962175369,0.9639925956726074,0.9639925956726074,0.3199999928474426,0.3199999928474426,0.0,0.0,0.9999998807907104,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,40,778,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3766176700592041,0.3766176700592041,0.7333840131759644,0.7333840131759644,0.12119939923286438,0.12119939923286438,0.9624104499816895,0.9624104499816895,0.2824999988079071,0.2824999988079071,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,41,778,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2256145179271698,0.2256145179271698,0.8175213932991028,0.8175213932991028,0.11964844912290573,0.11964844912290573,0.9659980535507202,0.9659980535507202,0.3725000023841858,0.3725000023841858,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,42,778,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3400026559829712,0.3400026559829712,0.8085629940032959,0.8085629940032959,0.08335752785205841,0.08335752785205841,0.9831239581108093,0.9831239581108093,0.3824999928474426,0.3824999928474426,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,43,778,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.23012109100818634,0.23012109100818634,0.8007063865661621,0.8007063865661621,0.1396394670009613,0.1396394670009613,0.9528843760490417,0.9528843760490417,0.3700000047683716,0.3700000047683716,0.0,0.0,1.0,0.0,0.0
