query_index,global_correct,refined_correct,ru_correct,top100_reachable,refined_distance_m,refined_raw_ca_difference_deg,nearest_gt_distance_m
305,False,True,True,True,18.557272106849013,1.5853000000000748,0.4181939734645416
306,False,True,True,True,7.6425063116351675,11.696400000000096,4.332678043032003
307,False,True,True,True,3.816632074952722,6.629200000000083,3.3455077071005244
308,True,True,True,True,5.6146453513392585,8.772002343750046,5.578902433568453
309,True,True,True,True,15.471124877000905,25.115909999999985,1.1294627877397443
310,True,True,True,True,13.909424725395908,9.753028906249938,1.6684188767535473
311,False,True,True,True,5.354476270989277,6.0677499999999895,3.343121779337392
312,False,True,False,True,24.881617427385365,5.43119999999999,14.814961357590281
313,True,True,True,True,18.59021661001413,3.071049999999957,9.22936221191579
314,True,True,True,True,11.065676158772025,7.416034814452985,4.438643262259368
315,False,False,False,True,143.19289990429877,7.004241943359375,8.85022040045514
316,True,True,True,True,5.79184508684899,14.471310000000017,5.79184508684899
317,True,True,True,True,6.302161932303222,5.797200000000004,3.084287011284896
318,True,True,True,True,3.516502298274767,5.316021826171891,3.516502298274767
319,True,True,True,True,4.358575155993611,2.824199999999962,4.358575155993611
320,True,True,True,True,6.875853474658311,13.40599999999992,3.7534252707296476
321,True,True,True,True,16.433465242766893,41.14816488281252,15.212506167479024
322,True,True,True,True,5.093198955124158,23.710583691406384,1.0529519016843172
323,True,True,True,True,8.299264723709662,7.810699999999997,2.116473295810724
324,True,True,True,True,10.321841094049827,18.89758650390627,5.77966558269227
325,False,True,True,True,9.88277969261565,3.7960594848632923,5.59994064620807
326,True,True,True,True,11.590691049343931,1.3848068110788176,5.280131733666767
327,True,True,True,True,1.0198396719688807,19.471599999999967,1.0198396719688807
328,True,True,True,True,12.007688618139456,0.5658435378430795,10.735107797143641
329,True,True,True,True,8.444208270994487,3.2480999999998517,1.973654605484705
330,False,True,True,True,1.5052884304591811,4.66119384765625,1.5052884304591811
331,True,True,True,True,11.609098475520522,15.217900000000071,5.088063176987973
332,True,True,True,True,4.36863084902926,11.907430280017707,4.36863084902926
333,True,True,True,True,8.510488994136594,19.511300000000006,3.7368167460020074
334,True,True,True,True,2.2493829939621515,25.9131000000001,1.3743950733072172
335,False,False,False,True,25.207951351799508,11.462800000000044,6.839372233425244
336,False,False,False,True,25.37111034956465,3.0108999999999924,4.002835522213336
337,True,True,True,True,13.969748570245109,10.149585644531271,2.0582239056982945
338,False,False,False,False,1343.3785865014893,6.621809999999982,1.2558181504716697
339,True,True,False,True,14.6068377370159,0.5893916259765604,11.991248510278867
340,True,True,True,True,10.562792427618843,6.303422049201572,6.538794280163572
341,True,True,True,True,5.789248092195593,38.09686622543336,4.717597815585306
342,True,True,True,True,3.8932465563512575,15.419069999999977,3.8932465563512575
343,True,True,True,True,4.601591853310013,15.9024,4.601591853310013
344,True,True,True,True,9.85239920491608,0.5780029296875,1.6881339315242445
345,True,True,True,True,3.279222980317878,0.9771999999999821,3.279222980317878
346,True,True,True,True,8.54519163769322,4.9062000000000126,7.6864591699655955
347,True,True,True,True,11.611002912171667,12.98180000000005,7.940863230858802
348,True,True,True,True,3.382663844795111,7.596300000000042,2.7940015481673535
349,True,True,True,True,11.321563404712121,1.874149999999986,1.9588494808137882
350,True,True,True,True,9.915204664476638,4.904899999999998,2.754051082938919
351,True,True,True,True,4.638033605779162,2.259578767378116,4.638033605779162
352,True,True,False,True,12.256269978003504,31.316163482806388,5.169767836514261
353,True,True,True,True,11.26424650593616,3.098309082031278,2.1386102338331794
354,True,True,True,True,7.948664184027493,22.83239999999998,1.994829814983138
355,True,True,True,True,14.675096284379043,8.389040234374988,2.1605783790246065
356,True,True,True,True,18.575907477871002,32.25909999999999,15.564321995831484
357,True,True,True,True,8.066062177704943,37.30687,8.066062177704943
358,True,True,True,True,6.412730615289246,0.2218599999999924,6.412730615289246
359,True,True,True,True,2.6855342551313433,1.9248000000000047,2.6855342551313433
360,True,True,True,True,4.931987945500475,7.868399999999951,0.0968903212338093
361,True,True,True,True,19.302148275964473,12.182900000000018,15.292123292412688
362,False,True,True,True,4.660061966934878,13.066280000000006,4.660061966934878
363,False,False,False,False,79.05644931714684,8.353819999999985,7.19652652928979
364,True,True,True,True,14.268330333164634,9.267608642578125,14.268330333164634
365,False,True,True,True,16.64454590829362,6.891150000000039,8.430311760512895
366,True,True,True,True,20.520030633652173,12.163700000000034,3.2108134119304896
367,True,True,True,True,5.8905938312598884,6.115134263142636,1.5968108803246617
368,True,True,True,True,14.450577174311842,5.869074104631181,14.450577174311842
369,True,True,True,True,9.457569021241962,0.15390000000004989,6.064483188487216
370,False,True,True,True,7.920474444291905,15.67595982421875,2.7512849986197945
371,True,True,True,True,7.393429330055586,0.3119343750000212,2.2526685291284965
372,True,True,True,True,8.554607501097076,2.8448000000000775,1.8227790047940835
373,False,False,False,True,28.303242974755623,2.9941988671874924,9.94267410931694
374,True,True,True,True,6.925035962342798,12.487099999999998,6.925035962342798
375,True,True,True,True,6.165469117882224,20.51961542968752,1.445109789353499
376,True,True,True,True,2.028997999728166,0.5199999999999818,2.028997999728166
377,True,True,True,True,9.376296381234253,18.3635900390625,1.3172164364566807
378,True,True,True,True,2.885515651536021,5.741399999999999,2.885515651536021
379,True,True,True,True,21.01327110141846,21.243366816568937,8.87800440511735
380,True,True,True,True,7.863940082160806,20.812299999999993,7.863940082160806
381,True,True,True,True,6.401868918722005,9.83716000000004,1.8361529340582576
382,True,True,True,True,8.2037256503646,7.290748837344211,4.519460498600273
