group,layer,head,image_count,aligned_area_mean,aligned_attention_mass_mean,aligned_micro_enrichment,shuffled_area_mean,shuffled_attention_mass_mean,shuffled_micro_enrichment,random_area_mean,random_attention_mass_mean,random_micro_enrichment,aligned_minus_random_mass_mean,aligned_minus_random_micro_enrichment,aligned_minus_shuffled_mass_mean,aligned_minus_shuffled_micro_enrichment
union_queries,1,2,1694,0.05798665442918521,0.06315743281927132,1.0891718696480548,0.05798665498336062,0.075571094521947,1.3032497657199276,0.05798665442918521,0.05716663617486796,0.9858585003327158,0.0059907966444033515,0.10331336931533897,-0.01241366170267569,-0.21407789607187278
union_queries,1,3,1694,0.05798665442918521,0.06880663650235713,1.1865943496772273,0.05798665498336062,0.0803190846229247,1.3851305036645485,0.05798665442918521,0.05827001175252718,1.0048865954784134,0.010536624749829946,0.1817077541988139,-0.011512448120567564,-0.19853615398732116
union_queries,1,4,1694,0.05798665442918521,0.0598204424857671,1.0316243120875574,0.05798665498336062,0.07352011382509432,1.2678798914369358,0.05798665442918521,0.05763723072293517,0.9939740667970979,0.0021832117628319343,0.03765024529045957,-0.013699671339327217,-0.23625557934937835
union_queries,1,5,1694,0.05798665442918521,0.058444221878980664,1.0078909096291155,0.05798665498336062,0.06761274135802403,1.166005202014595,0.05798665442918521,0.057387696906765914,0.9896707694500506,0.0010565249722147496,0.018220140179064925,-0.00916851947904337,-0.15811429238547947
union_queries,2,0,1694,0.05798665442918521,0.05593311186734732,0.9645859451273271,0.05798665498336062,0.07172466689608595,1.2369167857098755,0.05798665442918521,0.057777964933352036,0.9964010771463281,-0.001844853066004716,-0.03181513201900099,-0.015791555028738632,-0.2723308405825484
union_queries,2,1,1694,0.05798665442918521,0.057030015687734206,0.9835024325705966,0.05798665498336062,0.06842593896206042,1.1800290770642894,0.05798665442918521,0.058180805520014894,1.003348203008794,-0.001150789832280687,-0.019845770438197352,-0.011395923274326212,-0.19652664449369284
union_queries,2,2,1694,0.05798665442918521,0.057624010366982524,0.9937460771659873,0.05798665498336062,0.07318291880867699,1.2620648462939783,0.05798665442918521,0.05786718843326659,0.9979397673982983,-0.00024317806628406258,-0.004193690232310976,-0.015558908441694455,-0.268318769127991
union_queries,2,3,1694,0.05798665442918521,0.06664976000856199,1.1493982652500911,0.05798665498336062,0.07341313976112758,1.26603508655903,0.05798665442918521,0.05786942126759391,0.997978273401952,0.008780338740968084,0.15141999184813915,-0.006763379752565584,-0.11663682130893882
union_queries,2,4,1694,0.05798665442918521,0.0633371399700149,1.0922709818922878,0.05798665498336062,0.07793741084749611,1.3440577124143547,0.05798665442918521,0.05789782120071026,0.9984680401145848,0.005439318769304643,0.09380294177770299,-0.014600270877481211,-0.2517867305220669
union_queries,2,5,1694,0.05798665442918521,0.06388891433775777,1.1017865225485728,0.05798665498336062,0.07225379523729912,1.2460417876842953,0.05798665442918521,0.05731858194331774,0.988478857895081,0.006570332394440031,0.11330766465349174,-0.008364880899541353,-0.1442552651357225
standard_queries,1,0,740,0.06409594535424902,0.055896520956948,0.8720757709090022,0.06356206222160442,0.0697391940935238,1.097182685017098,0.0640959456764363,0.06389913156225875,0.9969293827854403,-0.00800261060531075,-0.12485361187643806,-0.013842673136575803,-0.2251069141080958
standard_queries,1,1,740,0.06409594535424902,0.07111242006759386,1.1094683084018153,0.06356206222160442,0.08383665664775951,1.318973200640804,0.0640959456764363,0.06405360219446389,0.9993393734732277,0.007058817873129974,0.11012893492858766,-0.012724236580165657,-0.2095048922389886
standard_queries,1,2,740,0.06409594535424902,0.06683580406211517,1.0427462094945843,0.06356206222160442,0.07621320590779589,1.199036079762236,0.0640959456764363,0.06272173344686224,0.9785600756011741,0.004114070615252933,0.06418613389341021,-0.009377401845680701,-0.15628987026765162
standard_queries,1,3,740,0.06409594535424902,0.07507047629034197,1.1712203615289283,0.06356206222160442,0.08459517408061672,1.3309066937709149,0.0640959456764363,0.06483353247513642,1.0115075421840805,0.010236943815205549,0.15971281934484782,-0.009524697790274749,-0.15968633224198658
standard_queries,1,4,740,0.06409594535424902,0.06638435542180732,1.0357028834649458,0.06356206222160442,0.07766755617953636,1.2219168709277268,0.0640959456764363,0.06315271065041826,0.9852840142061465,0.003231644771389059,0.05041886925879924,-0.011283200757729041,-0.18621398746278106
standard_queries,1,5,740,0.06409594535424902,0.06290420048140191,0.9814068601959061,0.06356206222160442,0.06981085965762267,1.0983101746169324,0.0640959456764363,0.06297139569714262,0.9824552088681159,-6.719521574071935e-05,-0.00104834867220982,-0.006906659176220765,-0.1169033144210263
standard_queries,2,0,740,0.06409594535424902,0.06080808115972055,0.9487040221287489,0.06356206222160442,0.07394502758979797,1.1633516126647072,0.0640959456764363,0.06410841436402218,1.0001945316112322,-0.003300333204301628,-0.05149050948248324,-0.013136946430077423,-0.21464759053595828
standard_queries,2,1,740,0.06409594535424902,0.0625183684197632,0.975387258495576,0.06356206222160442,0.07096307132695172,1.1164375233695885,0.0640959456764363,0.06400982757677903,0.9986564189240299,-0.0014914591570158262,-0.02326916042845395,-0.008444702907188519,-0.1410502648740125
standard_queries,2,2,740,0.06409594535424902,0.06300041258737847,0.9829079240376953,0.06356206222160442,0.07728712300996522,1.2159316470964927,0.0640959456764363,0.06387147240944811,0.9964978554474981,-0.0008710598220696321,-0.013589931409802802,-0.01428671042258675,-0.23302372305879737
standard_queries,2,3,740,0.06409594535424902,0.06894356608390809,1.0756306924387644,0.06356206222160442,0.07594468984249476,1.1948116091280867,0.0640959456764363,0.06377051605566128,0.994922773705254,0.005173050028246803,0.08070791873351046,-0.007001123758586678,-0.11918091668932229
standard_queries,2,4,740,0.06409594535424902,0.06539372070818333,1.020247386114078,0.06356206222160442,0.08129289061636538,1.278953007108922,0.0640959456764363,0.06426876878013482,1.0026963188057316,0.0011249519280485205,0.017551067308346324,-0.01589916990818204,-0.25870562099484395
standard_queries,2,5,740,0.06409594535424902,0.07216459967800089,1.125884005285476,0.06356206222160442,0.07452294206297075,1.1724437417268185,0.0640959456764363,0.06288501954561955,0.9811076017673623,0.009279580132381336,0.1447764035181136,-0.002358342384969866,-0.04655973644134259
night,1,0,55,0.0847302268851887,0.08434566421942277,0.9954613285021999,0.08473023094914177,0.10632401406764984,1.2548533489949942,0.08473022471774708,0.08782741901549426,1.0365535947539917,-0.003481754796071486,-0.04109226625179174,-0.021978349848227066,-0.2593920204927943
night,1,1,55,0.0847302268851887,0.11184442937374114,1.3200062537929087,0.08473023094914177,0.12152055529030886,1.4342054061347953,0.08473022471774708,0.08841290717775172,1.0434636220105915,0.023431522195989436,0.2765426317823172,-0.009676125916567717,-0.1141991523418866
night,1,2,55,0.0847302268851887,0.09617506644942543,1.1350738689717512,0.08473023094914177,0.12136623967777599,1.432384148116208,0.08473022471774708,0.08363704843954607,0.9870981543853731,0.012538018009879373,0.14797571458637815,-0.02519117322835055,-0.29731027914445685
