group,component,image_count,normalised_entropy_mean,effective_patch_fraction_mean,peak_attention_mean,peak_density_mean,top_10pct_attention_mass_mean,top_20pct_attention_mass_mean,aligned_area_mean,aligned_attention_mass_mean,aligned_micro_enrichment,aligned_macro_eligible_count,aligned_enrichment_p10,aligned_enrichment_p50,aligned_enrichment_p90,shuffled_area_mean,shuffled_attention_mass_mean,shuffled_micro_enrichment,shuffled_macro_eligible_count,shuffled_enrichment_p10,shuffled_enrichment_p50,shuffled_enrichment_p90,random_area_mean,random_attention_mass_mean,random_micro_enrichment,random_macro_eligible_count,random_enrichment_p10,random_enrichment_p50,random_enrichment_p90,aligned_minus_random_mass_mean,aligned_minus_random_micro_enrichment,aligned_minus_shuffled_mass_mean,aligned_minus_shuffled_micro_enrichment
union_queries,consensus_raw,1694,0.9370928604459255,0.6910061878465564,0.013695008195101019,5.478003264317969,0.30537964658725925,0.4968930503975824,0.05798665442918521,0.06111500596950862,1.0539495090916797,1193,0.7094726324081421,1.1737346649169922,1.8108353853225707,0.05798665498336062,0.07349185960492671,1.267392637599381,1193,0.6754201769828797,1.3548572063446045,2.2611608505249023,0.05798665442918521,0.0577515387883434,0.9959453490953003,1193,0.7795922875404357,0.9882267117500305,1.2063201904296874,0.0033634671811652154,0.05800415999637942,-0.012376853635418092,-0.2134431285077012
union_queries,fc_energy_proxy,1694,0.9371993657126759,0.691492105459238,0.013665963584445022,5.466385284027496,0.3048263923336511,0.4962892400050248,0.05798665442918521,0.06107591741763434,1.0532754134353761,1193,0.7093549728393554,1.170637845993042,1.7992525339126586,0.05798665498336062,0.07337890398263087,1.2654446786711024,1193,0.6764289379119873,1.3574883937835693,2.2503375530242917,0.05798665442918521,0.05776205553355437,0.9961267140199452,1193,0.7773378729820252,0.9871544241905212,1.2056111335754394,0.0033138618840799702,0.05714869941543088,-0.012302986564996532,-0.21216926523572632
standard_queries,layer_1,740,0.9328158906988195,0.6738081120155953,0.01653525029888024,6.614099992288126,0.32509770779996305,0.5134911685376554,0.06409594535424902,0.0663672965926093,1.035436738249305,531,0.6948432922363281,1.1604177951812744,1.821442723274231,0.06356206222160442,0.07697711240600895,1.2110543571987005,536,0.6264703869819641,1.2876383662223816,2.144065737724304,0.0640959456764363,0.06360535349797558,0.992345971757133,531,0.7616511583328247,0.9850853085517883,1.1719484329223633,0.002761943094633721,0.04309076649217203,-0.01060981581339965,-0.17561761894939543
standard_queries,layer_2,740,0.9347964750753867,0.681818649575517,0.01601105304183187,6.404421435175715,0.3206949910602054,0.5086123853116422,0.06409594535424902,0.0654714598849013,1.0214602425013004,531,0.6369616389274597,1.1069109439849854,1.7733467817306519,0.06356206222160442,0.07565929309741871,1.1903215605818167,536,0.6019413471221924,1.241447389125824,2.0829166173934937,0.0640959456764363,0.06381900525979094,0.9956792833973714,531,0.7818087339401245,0.9845321774482727,1.183274745941162,0.0016524546251103684,0.02578095910392897,-0.010187833212517403,-0.1688613180805163
standard_queries,consensus_raw,740,0.9400247741389919,0.7025876412520538,0.013612558541668427,5.445023454202188,0.30112817094132704,0.48990133968559474,0.06409594535424902,0.06591937757424406,1.0284484800078568,531,0.6760491132736206,1.140376091003418,1.7947636842727661,0.06356206222160442,0.07631820238925316,1.2006879531877896,536,0.6180524826049805,1.2671558856964111,2.0666472911834717,0.0640959456764363,0.06371217968093382,0.9940126322897276,531,0.7819942831993103,0.9871470928192139,1.1751339435577393,0.0022071978933102376,0.03443584771812924,-0.01039882481500909,-0.17223947317993282
standard_queries,fc_energy_proxy,740,0.9401268997707882,0.7030587518537367,0.013607965973583427,5.4431864248739705,0.3006159875843976,0.48932453941654513,0.06409594535424902,0.06583188236565203,1.0270834138073592,531,0.6841197609901428,1.1412630081176758,1.7859731912612915,0.06356206222160442,0.07621428716827083,1.1990530908603212,536,0.6144088506698608,1.2671893239021301,2.0721386671066284,0.0640959456764363,0.06372794214938138,0.9942585521881112,531,0.7796849608421326,0.9862122535705566,1.168889045715332,0.002103940216270653,0.032824861619248025,-0.0103824048026188,-0.17196967705296196
night,layer_1,55,0.9289489182558927,0.6552926713770086,0.013936754790219394,5.574702037464489,0.32384191209619695,0.525505641373721,0.0847302268851887,0.10279092301021922,1.2131552904904073,51,0.9786943793296814,1.2489928007125854,1.6814898252487183,0.08473023094914177,0.11655161868442189,1.3755612061813038,51,0.8137933611869812,1.455082893371582,2.2431671619415283,0.08473022471774708,0.08585023175586354,1.0132185066408996,51,0.8186384439468384,0.9856780767440796,1.170270562171936,0.01694069125435569,0.19993678384950764,-0.013760695674202659,-0.16240591569089657
night,layer_2,55,0.9386860717426647,0.6936446796764028,0.012915439531207084,5.166176241094416,0.3056720636107705,0.4970848712054166,0.0847302268851887,0.1122844013300809,1.325198874803306,51,1.0151185989379883,1.3808397054672241,1.8214963674545288,0.08473023094914177,0.1242435872554779,1.4663430733483251,51,0.9704437851905823,1.550157070159912,2.0688908100128174,0.08473022471774708,0.08691622371023351,1.0257995184099702,51,0.7962135076522827,0.9988568425178528,1.2397247552871704,0.025368177619847384,0.2993993563933357,-0.011959185925397006,-0.14114419854501925
night,consensus_raw,55,0.9374486836520108,0.688765159520236,0.011395083638754758,4.558032868125222,0.29981889616359364,0.49868171323429455,0.0847302268851887,0.10753767002712597,1.2691771753761716,51,0.9708656072616577,1.2994415760040283,1.8682442903518677,0.08473023094914177,0.12039760784669355,1.4209521973209382,51,0.8781232833862305,1.519205093383789,2.2033653259277344,0.08473022471774708,0.08638323653828014,1.0195091164462218,51,0.8287337422370911,1.006561279296875,1.2010337114334106,0.021154433488845825,0.2496680589299498,-0.012859937819567594,-0.15177502194476666
night,fc_energy_proxy,55,0.9375498338179155,0.6891781200062145,0.011344397711482915,4.537758844549006,0.2991389989852905,0.4977855834093961,0.0847302268851887,0.10744958249005404,1.2681375518520746,51,0.9737920761108398,1.305753469467163,1.8655790090560913,0.08473023094914177,0.12018873935396021,1.418487097315974,51,0.8737450838088989,1.520370602607727,2.1654586791992188,0.08473022471774708,0.08643182136795738,1.0200825225694685,51,0.8337852954864502,1.0046945810317993,1.2039296627044678,0.02101776112209667,0.24805502928260603,-0.012739156863906167,-0.15034954546389945
winter2summer,layer_1,586,0.9218371649854419,0.6330155097583862,0.018642172098172503,7.45686892193739,0.3472703629691446,0.5415554086808052,0.056514590458925366,0.05957933118862478,1.0542291947055134,378,0.771176952123642,1.2763952016830444,1.9224937677383425,0.05651459193298968,0.0768881696896189,1.3605011919892567,378,0.7176795661449432,1.4661005139350891,2.7346973180770875,0.056514590458925366,0.0562984679905863,0.9961758111209149,378,0.7484945297241211,0.9951497912406921,1.2790428757667542,0.003280863198038483,0.05805338358459844,-0.017308838500994107,-0.3062719972837433
winter2summer,layer_2,586,0.9239725267114086,0.641279833613809,0.017375394759172057,6.950157770931518,0.34348873885621795,0.5377810271425052,0.056514590458925366,0.05799029693730595,1.026111955627691,378,0.7182424008846283,1.193611204624176,1.8684487938880925,0.05651459193298968,0.07519439752801693,1.3305306639597825,378,0.7478436768054962,1.463096797466278,2.5075447559356694,0.056514590458925366,0.056248682906291744,0.9952948866748511,378,0.7466569304466248,0.981997162103653,1.246979033946991,0.0017416140310142075,0.030817068952839866,-0.017204100590710984,-0.3044187083320915
winter2summer,consensus_raw,586,0.9300282866067854,0.6638468085905798,0.014799052812858348,5.919621195809426,0.32073523658534364,0.5164486330015261,0.056514590458925366,0.05878481518917434,1.0401705950943583,378,0.7630411684513092,1.2478964924812317,1.83560585975647,0.05651459193298968,0.07604128395051477,1.34551593402069,378,0.7387449145317078,1.4774874448776245,2.5402894735336305,0.056514590458925366,0.05627357546651717,0.9957353492177676,378,0.7868993878364563,0.9918898940086365,1.2417335867881776,0.002511239722657173,0.044435245876590646,-0.01725646876134042,-0.30534533892633164
winter2summer,fc_energy_proxy,586,0.930131331645588,0.6643291801315933,0.014758899908055116,5.903559963857761,0.32011235284113637,0.5158580929142623,0.056514590458925366,0.058736409065424884,1.0393140707285906,378,0.7659350633621216,1.2475483417510986,1.8230574131011963,0.05651459193298968,0.0759173087050992,1.3433222484401137,378,0.7386407375335693,1.4735069870948792,2.525840044021607,0.056514590458925366,0.05627882060095821,0.9958281594885038,378,0.7835713267326355,0.9904386401176453,1.2372950911521914,0.002457588464466683,0.04348591124008683,-0.01718089963967432,-0.3040081777115231
