group,layer,query,image_count,aligned_area_mean,aligned_attention_mass_mean,aligned_micro_enrichment,shuffled_area_mean,shuffled_attention_mass_mean,shuffled_micro_enrichment,random_area_mean,random_attention_mass_mean,random_micro_enrichment,aligned_minus_random_mass_mean,aligned_minus_random_micro_enrichment,aligned_minus_shuffled_mass_mean,aligned_minus_shuffled_micro_enrichment
all,1,46,20565,0.06302979775742258,0.0805966206213766,1.2787066354165049,0.06302979786321249,0.08189987029989879,1.299383356387057,0.06302979782843225,0.06306180978151593,1.0005078860187815,0.017534810839860672,0.2781987493977234,-0.0013032496785221961,-0.020676720970552065
all,1,47,20565,0.06302979775742258,0.056646294327645924,0.8987224510168302,0.06302979786321249,0.06981945101315744,1.1077213219798019,0.06302979782843225,0.06285439769499894,0.9972171871166277,-0.006208103367353006,-0.09849473609979742,-0.013173156685511512,-0.20899887096297165
all,1,48,20565,0.06302979775742258,0.06813069279469801,1.0809283103986278,0.06302979786321249,0.07152597867396229,1.1347962566719356,0.06302979782843225,0.0627034643699827,0.9948225526704395,0.005427228424715324,0.08610575772818829,-0.0033952858792642825,-0.05386794627330782
all,1,49,20565,0.06302979775742258,0.0779419748726648,1.2365893219685307,0.06302979786321249,0.08459116053818903,1.3420820533451352,0.06302979782843225,0.06306343783604997,1.0005337159371714,0.014878537036614833,0.23605560603135922,-0.006649185665524226,-0.10549273137660453
all,1,50,20565,0.06302979775742258,0.048614953262036284,0.7713011145797503,0.06302979786321249,0.0643315312681539,1.0206526666604014,0.06302979782843225,0.06288614617688239,0.9977208930299779,-0.014271192914846102,-0.22641977845022765,-0.015716578006117615,-0.24935155208065118
all,1,51,20565,0.06302979775742258,0.0531737395413238,0.8436285920822569,0.06302979786321249,0.0692499034224477,1.098685157974552,0.06302979782843225,0.06303525156269714,1.0000865262852299,-0.009861512021373331,-0.15645793420297294,-0.0160761638811239,-0.2550565658922951
all,1,52,20565,0.06302979775742258,0.06135988860295299,0.9735060366067423,0.06302979786321249,0.06903235886382732,1.0952337022187761,0.06302979782843225,0.06298155796585286,0.9992346498919338,-0.0016216693628998734,-0.025728613285191493,-0.0076724702608743315,-0.12172766561203385
all,1,53,20565,0.06302979775742258,0.059925985208300635,0.9507564253804633,0.06302979786321249,0.07689726764257883,1.2200145050355637,0.06302979782843225,0.06306898012314227,1.0006216471583278,-0.003142994914841633,-0.049865221777864455,-0.016971282434278187,-0.2692580796551004
all,1,54,20565,0.06302979775742258,0.07170414013786745,1.1376228813842792,0.06302979786321249,0.07710233112045833,1.2232679420579153,0.06302979782843225,0.0629242718696174,0.9983257766572234,0.008779868268250057,0.1392971047270558,-0.00539819098259088,-0.08564506067363609
all,1,55,20565,0.06302979775742258,0.06850957663079016,1.0869394963705443,0.06302979786321249,0.07241182175686607,1.1488506105320928,0.06302979782843225,0.06280505507962528,0.9964343412711124,0.005704521551164881,0.09050515509943191,-0.0039022451260759105,-0.061911114161548486
